report_150_0.0001_0.01_0.5.txt:0.8076 	 AUC
report_150_0.0001_0.01_1.txt:0.8129 	 AUC
report_150_0.0001_0.01_10.txt:0.8202 	 AUC
report_150_0.0001_0.01_2.txt:0.8128 	 AUC
report_150_0.0001_0.01_5.txt:0.8166 	 AUC
report_150_0.0001_0.1_0.01.txt:0.8036 	 AUC
report_150_0.0001_0.1_0.1.txt:0.8058 	 AUC
report_150_0.0001_0.1_0.5.txt:0.8128 	 AUC
report_150_0.0001_0.1_1.txt:0.8162 	 AUC
report_150_0.0001_0.1_10.txt:0.8274 	 AUC
report_150_0.0001_0.1_2.txt:0.8193 	 AUC
report_150_0.0001_0.1_5.txt:0.8273 	 AUC
report_150_0.0001_0.13_0.01.txt:0.8037 	 AUC
report_150_0.0001_0.13_0.1.txt:0.8061 	 AUC
report_150_0.0001_0.13_0.5.txt:0.8128 	 AUC
report_150_0.0001_0.13_1.txt:0.8163 	 AUC
report_150_0.0001_0.13_10.txt:0.8265 	 AUC
report_150_0.0001_0.13_2.txt:0.8211 	 AUC
report_150_0.0001_0.13_5.txt:0.8288 	 AUC
report_150_0.0001_0.25_0.01.txt:0.8037 	 AUC
report_150_0.0001_0.25_0.1.txt:0.8091 	 AUC
report_150_0.0001_0.25_0.5.txt:0.8138 	 AUC
report_150_0.0001_0.25_1.txt:0.8211 	 AUC
report_150_0.0001_0.25_10.txt:0.8319 	 AUC
report_150_0.0001_0.25_2.txt:0.8257 	 AUC
report_150_0.0001_0.25_5.txt:0.8276 	 AUC
report_150_0.0001_0.5_0.01.txt:0.8037 	 AUC
report_150_0.0001_0.5_0.1.txt:0.8111 	 AUC
report_150_0.0001_0.5_0.5.txt:0.8184 	 AUC
report_150_0.0001_0.5_1.txt:0.8226 	 AUC
report_150_0.0001_0.5_10.txt:0.5064 	 AUC
report_150_0.0001_0.5_2.txt:0.8280 	 AUC
report_150_0.0001_0.5_5.txt:0.8290 	 AUC
report_150_0.0001_1_0.01.txt:0.8036 	 AUC
report_150_0.0001_1_0.1.txt:0.8130 	 AUC
report_150_0.0001_1_0.5.txt:0.8215 	 AUC
report_150_0.0001_1_1.txt:0.8289 	 AUC
report_150_0.0001_1_10.txt:0.5143 	 AUC
report_150_0.0001_1_2.txt:0.8317 	 AUC
report_150_0.0001_1_5.txt:0.5123 	 AUC
report_150_0.001_0.001_0.01.txt:0.8036 	 AUC
report_150_0.001_0.001_0.1.txt:0.8036 	 AUC
report_150_0.001_0.001_0.5.txt:0.8096 	 AUC
report_150_0.001_0.001_1.txt:0.8135 	 AUC
report_150_0.001_0.001_10.txt:0.8100 	 AUC
report_150_0.001_0.001_2.txt:0.8130 	 AUC
report_150_0.001_0.001_5.txt:0.8070 	 AUC
report_150_0.001_0.01_0.01.txt:0.8036 	 AUC
report_150_0.001_0.01_0.1.txt:0.8049 	 AUC
report_150_0.001_0.01_0.5.txt:0.8128 	 AUC
report_150_0.001_0.01_1.txt:0.8127 	 AUC
report_150_0.001_0.01_10.txt:0.8157 	 AUC
report_150_0.001_0.01_2.txt:0.8144 	 AUC
report_150_0.001_0.01_5.txt:0.8208 	 AUC
report_150_0.001_0.1_0.01.txt:0.8036 	 AUC
report_150_0.001_0.1_0.1.txt:0.8139 	 AUC
report_150_0.001_0.1_0.5.txt:0.8169 	 AUC
report_150_0.001_0.1_1.txt:0.8201 	 AUC
report_150_0.001_0.1_10.txt:0.8269 	 AUC
report_150_0.001_0.1_2.txt:0.8232 	 AUC
report_150_0.001_0.1_5.txt:0.8257 	 AUC
report_150_0.001_0.13_0.01.txt:0.8036 	 AUC
report_150_0.001_0.13_0.1.txt:0.8132 	 AUC
report_150_0.001_0.13_0.5.txt:0.8170 	 AUC
report_150_0.001_0.13_1.txt:0.8204 	 AUC
report_150_0.001_0.13_10.txt:0.8259 	 AUC
report_150_0.001_0.13_2.txt:0.8243 	 AUC
report_150_0.001_0.13_5.txt:0.8274 	 AUC
report_150_0.001_0.25_0.01.txt:0.8037 	 AUC
report_150_0.001_0.25_0.1.txt:0.8127 	 AUC
report_150_0.001_0.25_0.5.txt:0.8202 	 AUC
report_150_0.001_0.25_1.txt:0.8248 	 AUC
report_150_0.001_0.25_10.txt:0.8288 	 AUC
report_150_0.001_0.25_2.txt:0.8267 	 AUC
report_150_0.001_0.25_5.txt:0.8280 	 AUC
report_150_0.001_0.5_0.01.txt:0.8036 	 AUC
report_150_0.001_0.5_0.1.txt:0.8128 	 AUC
report_150_0.001_0.5_0.5.txt:0.8227 	 AUC
report_150_0.001_0.5_1.txt:0.8256 	 AUC
report_150_0.001_0.5_10.txt:0.5369 	 AUC
report_150_0.001_0.5_2.txt:0.8267 	 AUC
report_150_0.001_0.5_5.txt:0.8290 	 AUC
report_150_0.001_1_0.01.txt:0.8037 	 AUC
report_150_0.001_1_0.1.txt:0.8165 	 AUC
report_150_0.001_1_0.5.txt:0.8258 	 AUC
report_150_0.001_1_1.txt:0.8267 	 AUC
report_150_0.001_1_10.txt:0.5236 	 AUC
report_150_0.001_1_2.txt:0.8284 	 AUC
report_150_0.001_1_5.txt:0.5091 	 AUC
report_150_0.005_0.001_0.01.txt:0.8036 	 AUC
report_150_0.005_0.001_0.1.txt:0.8036 	 AUC
report_150_0.005_0.001_0.5.txt:0.8134 	 AUC
report_150_0.005_0.001_1.txt:0.8134 	 AUC
report_150_0.005_0.001_10.txt:0.8096 	 AUC
report_150_0.005_0.001_2.txt:0.8108 	 AUC
report_150_0.005_0.001_5.txt:0.8075 	 AUC
report_150_0.005_0.01_0.01.txt:0.8036 	 AUC
report_150_0.005_0.01_0.1.txt:0.8120 	 AUC
report_150_0.005_0.01_0.5.txt:0.8127 	 AUC
report_150_0.005_0.01_1.txt:0.8112 	 AUC
report_150_0.005_0.01_10.txt:0.8138 	 AUC
report_150_0.005_0.01_2.txt:0.8134 	 AUC
report_150_0.005_0.01_5.txt:0.8098 	 AUC
report_150_0.005_0.1_0.01.txt:0.8036 	 AUC
report_150_0.005_0.1_0.1.txt:0.8127 	 AUC
report_150_0.005_0.1_0.5.txt:0.8200 	 AUC
report_150_0.005_0.1_1.txt:0.8184 	 AUC
report_150_0.005_0.1_10.txt:0.8246 	 AUC
report_150_0.005_0.1_2.txt:0.8231 	 AUC
report_150_0.005_0.1_5.txt:0.8250 	 AUC
report_150_0.005_0.13_0.01.txt:0.8036 	 AUC
report_150_0.005_0.13_0.1.txt:0.8127 	 AUC
report_150_0.005_0.13_0.5.txt:0.8206 	 AUC
report_150_0.005_0.13_1.txt:0.8230 	 AUC
report_150_0.005_0.13_10.txt:0.8286 	 AUC
report_150_0.005_0.13_2.txt:0.8213 	 AUC
report_150_0.005_0.13_5.txt:0.8267 	 AUC
report_150_0.005_0.25_0.01.txt:0.8064 	 AUC
report_150_0.005_0.25_0.1.txt:0.8128 	 AUC
report_150_0.005_0.25_0.5.txt:0.8215 	 AUC
report_150_0.005_0.25_1.txt:0.8261 	 AUC
report_150_0.005_0.25_10.txt:0.8330 	 AUC
report_150_0.005_0.25_2.txt:0.8273 	 AUC
report_150_0.005_0.25_5.txt:0.8290 	 AUC
report_150_0.005_0.5_0.01.txt:0.8097 	 AUC
report_150_0.005_0.5_0.1.txt:0.8165 	 AUC
report_150_0.005_0.5_0.5.txt:0.8249 	 AUC
report_150_0.005_0.5_1.txt:0.8256 	 AUC
report_150_0.005_0.5_10.txt:0.5885 	 AUC
report_150_0.005_0.5_2.txt:0.8281 	 AUC
report_150_0.005_0.5_5.txt:0.8349 	 AUC
report_150_0.005_1_0.01.txt:0.8108 	 AUC
report_150_0.005_1_0.1.txt:0.8198 	 AUC
report_150_0.005_1_0.5.txt:0.8272 	 AUC
report_150_0.005_1_1.txt:0.8261 	 AUC
report_150_0.005_1_10.txt:0.5128 	 AUC
report_150_0.005_1_2.txt:0.8294 	 AUC
report_150_0.005_1_5.txt:0.5119 	 AUC
report_150_0.01_0.001_0.01.txt:0.8036 	 AUC
report_150_0.01_0.001_0.1.txt:0.8036 	 AUC
report_150_0.01_0.001_0.5.txt:0.8070 	 AUC
