report_100_1_0.5_10.txt:0.1423 	 F1
report_100_1_0.5_2.txt:0.1672 	 F1
report_100_1_0.5_5.txt:0.1503 	 F1
report_100_1_1_0.01.txt:0.1868 	 F1
report_100_1_1_0.1.txt:0.1938 	 F1
report_100_1_1_0.5.txt:0.1933 	 F1
report_100_1_1_1.txt:0.1786 	 F1
report_100_1_1_10.txt:0.1510 	 F1
report_100_1_1_2.txt:0.1716 	 F1
report_100_1_1_5.txt:0.1435 	 F1
report_100_10_0.001_0.01.txt:0.1951 	 F1
report_100_10_0.001_0.1.txt:0.1854 	 F1
report_100_10_0.001_0.5.txt:0.1279 	 F1
report_100_10_0.001_1.txt:0.1622 	 F1
report_100_10_0.001_10.txt:0.1329 	 F1
report_100_10_0.001_2.txt:0.1363 	 F1
report_100_10_0.001_5.txt:0.1456 	 F1
report_100_10_0.01_0.01.txt:0.2019 	 F1
report_100_10_0.01_0.1.txt:0.2067 	 F1
report_100_10_0.01_0.5.txt:0.1656 	 F1
report_100_10_0.01_1.txt:0.1552 	 F1
report_100_10_0.01_10.txt:0.1393 	 F1
report_100_10_0.01_2.txt:0.1344 	 F1
report_100_10_0.01_5.txt:0.1090 	 F1
report_100_10_0.1_0.01.txt:0.1974 	 F1
report_100_10_0.1_0.1.txt:0.2002 	 F1
report_100_10_0.1_0.5.txt:0.1310 	 F1
report_100_10_0.1_1.txt:0.1600 	 F1
report_100_10_0.1_10.txt:0.1326 	 F1
report_100_10_0.1_2.txt:0.1360 	 F1
report_100_10_0.1_5.txt:0.1454 	 F1
report_100_10_0.13_0.01.txt:0.2087 	 F1
report_100_10_0.13_0.1.txt:0.1874 	 F1
report_100_10_0.13_0.5.txt:0.1590 	 F1
report_100_10_0.13_1.txt:0.1450 	 F1
report_100_10_0.13_10.txt:0.1206 	 F1
report_100_10_0.13_2.txt:0.1516 	 F1
report_100_10_0.13_5.txt:0.1417 	 F1
report_100_10_0.25_0.01.txt:0.1996 	 F1
report_100_10_0.25_0.1.txt:0.1941 	 F1
report_100_10_0.25_0.5.txt:0.1520 	 F1
report_100_10_0.25_1.txt:0.1684 	 F1
report_100_10_0.25_10.txt:0.1375 	 F1
report_100_10_0.25_2.txt:0.1518 	 F1
report_100_10_0.25_5.txt:0.1366 	 F1
report_100_10_0.5_0.01.txt:0.2067 	 F1
report_100_10_0.5_0.1.txt:0.1850 	 F1
report_100_10_0.5_0.5.txt:0.1472 	 F1
report_100_10_0.5_1.txt:0.1547 	 F1
report_100_10_0.5_10.txt:0.1319 	 F1
report_100_10_0.5_2.txt:0.1352 	 F1
report_100_10_0.5_5.txt:0.1346 	 F1
report_100_10_1_0.01.txt:0.2033 	 F1
report_100_10_1_0.1.txt:0.2039 	 F1
report_100_10_1_0.5.txt:0.1606 	 F1
report_100_10_1_1.txt:0.1463 	 F1
report_100_10_1_10.txt:0.1175 	 F1
report_100_10_1_2.txt:0.1481 	 F1
report_100_10_1_5.txt:0.1270 	 F1
report_150_0.0001_0.001_0.01.txt:0.1852 	 F1
report_150_0.0001_0.001_0.1.txt:0.1847 	 F1
report_150_0.0001_0.001_0.5.txt:0.1847 	 F1
report_150_0.0001_0.001_1.txt:0.1860 	 F1
report_150_0.0001_0.001_10.txt:0.1865 	 F1
report_150_0.0001_0.001_2.txt:0.1824 	 F1
report_150_0.0001_0.001_5.txt:0.1869 	 F1
report_150_0.0001_0.01_0.01.txt:0.1855 	 F1
report_150_0.0001_0.01_0.1.txt:0.1848 	 F1
report_150_0.0001_0.01_0.5.txt:0.1835 	 F1
report_150_0.0001_0.01_1.txt:0.1879 	 F1
report_150_0.0001_0.01_10.txt:0.1877 	 F1
report_150_0.0001_0.01_2.txt:0.1863 	 F1
report_150_0.0001_0.01_5.txt:0.1850 	 F1
report_150_0.0001_0.1_0.01.txt:0.1849 	 F1
report_150_0.0001_0.1_0.1.txt:0.1865 	 F1
report_150_0.0001_0.1_0.5.txt:0.1866 	 F1
report_150_0.0001_0.1_1.txt:0.1865 	 F1
report_150_0.0001_0.1_10.txt:0.1919 	 F1
report_150_0.0001_0.1_2.txt:0.1899 	 F1
report_150_0.0001_0.1_5.txt:0.1909 	 F1
