report_100_1_0.001_10.txt:0.1937 	 Re
report_100_1_0.001_2.txt:0.2265 	 Re
report_100_1_0.001_5.txt:0.2520 	 Re
report_100_1_0.01_0.01.txt:0.2352 	 Re
report_100_1_0.01_0.1.txt:0.2211 	 Re
report_100_1_0.01_0.5.txt:0.2139 	 Re
report_100_1_0.01_1.txt:0.2493 	 Re
report_100_1_0.01_10.txt:0.2360 	 Re
report_100_1_0.01_2.txt:0.2078 	 Re
report_100_1_0.01_5.txt:0.1674 	 Re
report_100_1_0.1_0.01.txt:0.2390 	 Re
report_100_1_0.1_0.1.txt:0.2421 	 Re
report_100_1_0.1_0.5.txt:0.2257 	 Re
report_100_1_0.1_1.txt:0.2490 	 Re
report_100_1_0.1_10.txt:0.2131 	 Re
report_100_1_0.1_2.txt:0.2360 	 Re
report_100_1_0.1_5.txt:0.2417 	 Re
report_100_1_0.13_0.01.txt:0.2451 	 Re
report_100_1_0.13_0.1.txt:0.2623 	 Re
report_100_1_0.13_0.5.txt:0.2646 	 Re
report_100_1_0.13_1.txt:0.2398 	 Re
report_100_1_0.13_10.txt:0.1799 	 Re
report_100_1_0.13_2.txt:0.1994 	 Re
report_100_1_0.13_5.txt:0.1738 	 Re
report_100_1_0.25_0.01.txt:0.2638 	 Re
report_100_1_0.25_0.1.txt:0.2692 	 Re
report_100_1_0.25_0.5.txt:0.2287 	 Re
report_100_1_0.25_1.txt:0.2653 	 Re
report_100_1_0.25_10.txt:0.2150 	 Re
report_100_1_0.25_2.txt:0.2314 	 Re
report_100_1_0.25_5.txt:0.2509 	 Re
report_100_1_0.5_0.01.txt:0.2524 	 Re
report_100_1_0.5_0.1.txt:0.2364 	 Re
report_100_1_0.5_0.5.txt:0.2673 	 Re
report_100_1_0.5_1.txt:0.2406 	 Re
report_100_1_0.5_10.txt:0.2246 	 Re
report_100_1_0.5_2.txt:0.2162 	 Re
report_100_1_0.5_5.txt:0.2158 	 Re
report_100_1_1_0.01.txt:0.2737 	 Re
report_100_1_1_0.1.txt:0.2352 	 Re
report_100_1_1_0.5.txt:0.2585 	 Re
report_100_1_1_1.txt:0.2051 	 Re
report_100_1_1_10.txt:0.1982 	 Re
report_100_1_1_2.txt:0.2413 	 Re
report_100_1_1_5.txt:0.2211 	 Re
report_100_10_0.001_0.01.txt:0.2592 	 Re
report_100_10_0.001_0.1.txt:0.2234 	 Re
report_100_10_0.001_0.5.txt:0.1521 	 Re
report_100_10_0.001_1.txt:0.2326 	 Re
report_100_10_0.001_10.txt:0.1853 	 Re
report_100_10_0.001_2.txt:0.1910 	 Re
report_100_10_0.001_5.txt:0.2043 	 Re
report_100_10_0.01_0.01.txt:0.2368 	 Re
report_100_10_0.01_0.1.txt:0.2246 	 Re
report_100_10_0.01_0.5.txt:0.2139 	 Re
report_100_10_0.01_1.txt:0.2021 	 Re
report_100_10_0.01_10.txt:0.2154 	 Re
report_100_10_0.01_2.txt:0.1864 	 Re
report_100_10_0.01_5.txt:0.1807 	 Re
report_100_10_0.1_0.01.txt:0.2268 	 Re
report_100_10_0.1_0.1.txt:0.2478 	 Re
report_100_10_0.1_0.5.txt:0.2470 	 Re
report_100_10_0.1_1.txt:0.1899 	 Re
report_100_10_0.1_10.txt:0.1998 	 Re
report_100_10_0.1_2.txt:0.2238 	 Re
report_100_10_0.1_5.txt:0.1815 	 Re
report_100_10_0.13_0.01.txt:0.2657 	 Re
report_100_10_0.13_0.1.txt:0.2207 	 Re
report_100_10_0.13_0.5.txt:0.2021 	 Re
report_100_10_0.13_1.txt:0.1895 	 Re
report_100_10_0.13_10.txt:0.1464 	 Re
report_100_10_0.13_2.txt:0.2131 	 Re
report_100_10_0.13_5.txt:0.2425 	 Re
report_100_10_0.25_0.01.txt:0.2436 	 Re
report_100_10_0.25_0.1.txt:0.2409 	 Re
report_100_10_0.25_0.5.txt:0.2505 	 Re
report_100_10_0.25_1.txt:0.2089 	 Re
report_100_10_0.25_10.txt:0.2112 	 Re
report_100_10_0.25_2.txt:0.1853 	 Re
report_100_10_0.25_5.txt:0.2150 	 Re
report_100_10_0.5_0.01.txt:0.2543 	 Re
report_100_10_0.5_0.1.txt:0.2192 	 Re
report_100_10_0.5_0.5.txt:0.1872 	 Re
report_100_10_0.5_1.txt:0.1544 	 Re
report_100_10_0.5_10.txt:0.2192 	 Re
report_100_10_0.5_2.txt:0.1914 	 Re
report_100_10_0.5_5.txt:0.2120 	 Re
report_100_10_1_0.01.txt:0.2177 	 Re
report_100_10_1_0.1.txt:0.2554 	 Re
report_100_10_1_0.5.txt:0.2101 	 Re
report_100_10_1_1.txt:0.2192 	 Re
report_100_10_1_10.txt:0.2146 	 Re
report_100_10_1_2.txt:0.1925 	 Re
report_100_10_1_5.txt:0.1700 	 Re
report_150_0.0001_0.001_0.01.txt:0.2295 	 Re
report_150_0.0001_0.001_0.1.txt:0.2318 	 Re
report_150_0.0001_0.001_0.5.txt:0.2272 	 Re
report_150_0.0001_0.001_1.txt:0.2303 	 Re
report_150_0.0001_0.001_10.txt:0.2528 	 Re
report_150_0.0001_0.001_2.txt:0.2406 	 Re
report_150_0.0001_0.001_5.txt:0.2528 	 Re
report_150_0.0001_0.01_0.01.txt:0.2329 	 Re
report_150_0.0001_0.01_0.1.txt:0.2318 	 Re
report_150_0.0001_0.01_0.5.txt:0.2158 	 Re
report_150_0.0001_0.01_1.txt:0.2573 	 Re
report_150_0.0001_0.01_10.txt:0.2650 	 Re
report_150_0.0001_0.01_2.txt:0.2512 	 Re
report_150_0.0001_0.01_5.txt:0.2894 	 Re
report_150_0.0001_0.1_0.01.txt:0.2272 	 Re
report_150_0.0001_0.1_0.1.txt:0.2364 	 Re
report_150_0.0001_0.1_0.5.txt:0.2512 	 Re
report_150_0.0001_0.1_1.txt:0.2840 	 Re
report_150_0.0001_0.1_10.txt:0.2863 	 Re
report_150_0.0001_0.1_2.txt:0.2589 	 Re
report_150_0.0001_0.1_5.txt:0.2509 	 Re
report_150_0.0001_0.13_0.01.txt:0.2303 	 Re
report_150_0.0001_0.13_0.1.txt:0.2390 	 Re
report_150_0.0001_0.13_0.5.txt:0.2531 	 Re
report_150_0.0001_0.13_1.txt:0.2821 	 Re
report_150_0.0001_0.13_10.txt:0.2650 	 Re
report_150_0.0001_0.13_2.txt:0.2627 	 Re
