report_100_1_0.1_1.txt:0.1549 	 Pr
report_100_1_0.1_10.txt:0.1048 	 Pr
report_100_1_0.1_2.txt:0.1626 	 Pr
report_100_1_0.1_5.txt:0.1335 	 Pr
report_100_1_0.13_0.01.txt:0.1643 	 Pr
report_100_1_0.13_0.1.txt:0.1441 	 Pr
report_100_1_0.13_0.5.txt:0.1666 	 Pr
report_100_1_0.13_1.txt:0.1507 	 Pr
report_100_1_0.13_10.txt:0.1175 	 Pr
report_100_1_0.13_2.txt:0.1769 	 Pr
report_100_1_0.13_5.txt:0.1419 	 Pr
report_100_1_0.25_0.01.txt:0.1465 	 Pr
report_100_1_0.25_0.1.txt:0.1565 	 Pr
report_100_1_0.25_0.5.txt:0.1717 	 Pr
report_100_1_0.25_1.txt:0.1546 	 Pr
report_100_1_0.25_10.txt:0.1175 	 Pr
report_100_1_0.25_2.txt:0.1597 	 Pr
report_100_1_0.25_5.txt:0.1056 	 Pr
report_100_1_0.5_0.01.txt:0.1524 	 Pr
report_100_1_0.5_0.1.txt:0.1641 	 Pr
report_100_1_0.5_0.5.txt:0.1578 	 Pr
report_100_1_0.5_1.txt:0.1496 	 Pr
report_100_1_0.5_10.txt:0.1042 	 Pr
report_100_1_0.5_2.txt:0.1364 	 Pr
report_100_1_0.5_5.txt:0.1153 	 Pr
report_100_1_1_0.01.txt:0.1418 	 Pr
report_100_1_1_0.1.txt:0.1647 	 Pr
report_100_1_1_0.5.txt:0.1544 	 Pr
report_100_1_1_1.txt:0.1581 	 Pr
report_100_1_1_10.txt:0.1219 	 Pr
report_100_1_1_2.txt:0.1332 	 Pr
report_100_1_1_5.txt:0.1062 	 Pr
report_100_10_0.001_0.01.txt:0.1564 	 Pr
report_100_10_0.001_0.1.txt:0.1584 	 Pr
report_100_10_0.001_0.5.txt:0.1103 	 Pr
report_100_10_0.001_1.txt:0.1245 	 Pr
report_100_10_0.001_10.txt:0.1036 	 Pr
report_100_10_0.001_2.txt:0.1060 	 Pr
report_100_10_0.001_5.txt:0.1131 	 Pr
report_100_10_0.01_0.01.txt:0.1760 	 Pr
report_100_10_0.01_0.1.txt:0.1914 	 Pr
report_100_10_0.01_0.5.txt:0.1351 	 Pr
report_100_10_0.01_1.txt:0.1260 	 Pr
report_100_10_0.01_10.txt:0.1029 	 Pr
report_100_10_0.01_2.txt:0.1051 	 Pr
report_100_10_0.01_5.txt:0.0781 	 Pr
report_100_10_0.1_0.01.txt:0.1747 	 Pr
report_100_10_0.1_0.1.txt:0.1679 	 Pr
report_100_10_0.1_0.5.txt:0.0891 	 Pr
report_100_10_0.1_1.txt:0.1383 	 Pr
report_100_10_0.1_10.txt:0.0992 	 Pr
report_100_10_0.1_2.txt:0.0977 	 Pr
report_100_10_0.1_5.txt:0.1213 	 Pr
report_100_10_0.13_0.01.txt:0.1719 	 Pr
report_100_10_0.13_0.1.txt:0.1628 	 Pr
report_100_10_0.13_0.5.txt:0.1311 	 Pr
report_100_10_0.13_1.txt:0.1175 	 Pr
report_100_10_0.13_10.txt:0.1025 	 Pr
report_100_10_0.13_2.txt:0.1177 	 Pr
report_100_10_0.13_5.txt:0.1001 	 Pr
report_100_10_0.25_0.01.txt:0.1690 	 Pr
report_100_10_0.25_0.1.txt:0.1625 	 Pr
report_100_10_0.25_0.5.txt:0.1091 	 Pr
report_100_10_0.25_1.txt:0.1410 	 Pr
report_100_10_0.25_10.txt:0.1020 	 Pr
report_100_10_0.25_2.txt:0.1285 	 Pr
